claim_locator,parent_locator,claim_text,review_position,adjudication,adjudication_note,claim_inventory_complete
legacy_comment:5#diagonal_route_through_v2,legacy_comment:5,straight through V2,make_services_sheets.py:292,retracted,Round 1. Withdrawn by the owner the same day: it passed through a concrete ventilation shaft.,yes
legacy_comment:5#route_belongs_lower_hugging_g4b,legacy_comment:5,It belongs LOWER,make_services_sheets.py:292,accepted,"OWNER INTENT, in his own correction - 'lower, further from V1, hugging G4b'. Kept separate from the coordinates below.",yes
legacy_comment:5#derived_route_y_coordinates,legacy_comment:5,Now y=180/186,make_services_sheets.py:292,accepted,"DERIVED BY THE DRAWING AUTHOR, not part of the owner's quoted decision. knowledge_basis=derived when it becomes a value; the owner said 'lower, hugging G4b', not a number.",yes
legacy_comment:5#dogleg_turn,legacy_comment:5,I had added a turn that isn,make_services_sheets.py:292,retracted,"The author's dogleg, withdrawn on the owner's objection.",yes
legacy_comment:5#two_independent_one_turn_routes,legacy_comment:5,each pipe needs exactly ONE turn,make_services_sheets.py:292,accepted,"Two independent routes, each ending on its own take-off - not one line drawn twice.",yes
legacy_comment:5#dn50_run_observed_to_chase,legacy_comment:5,disappearing behind the V2/P2 block,make_services_sheets.py:292,accepted,"OBSERVED in photo 930d - WHICH IS APARTMENT 53, not ours (corrected 2026-09-17). A grey PVC pipe along the wall base into a chase. Asserted observation scoped to flat 53; its projection onto this apartment is candidate/derived. Consistent with legacy_comment:5#dn50_continuation_unknown, which already records that no photo shows how the DN50 reaches the stack.",yes
legacy_comment:5#dn50_continuation_unknown,legacy_comment:5,no photo shows how this DN50 reaches it,make_services_sheets.py:292,accepted,"An explicit UNKNOWN. Becomes an assertion with value_state=unknown, not an omission - drawing the branch would be inventing an element.",yes
legacy_comment:7#bathroom_service_topology,legacy_comment:7,risers stand in the niche at the far end,make_services_sheets.py:344,accepted,"The arrangement the owner wants applied: risers in the niche, meters at mid height, all three services leaving at low level.",yes
legacy_comment:7#applied_from_comparable_flat,legacy_comment:7,comparable flat,make_services_sheets.py:344,accepted,"PROVENANCE: the owner's annotated photo of ANOTHER flat, not ours. knowledge_basis=observed, on a comparable flat.",yes
legacy_comment:7#topology_not_setting_out,legacy_comment:7,"TOPOLOGY, NOT A SETTING-OUT",make_services_sheets.py:344,accepted,route_state=topology_only. The generator may not treat this as placement.,yes
legacy_comment:7#positions_indicative,legacy_comment:7,are indicative,make_services_sheets.py:344,accepted,value_state=candidate for every position derived from this block.,yes
legacy_comment:11#p1_hot_cold_and_valve,legacy_comment:11,another outlet for both hot and cold water,make_services_sheets.py:452,accepted,"Owner instruction; his 'switch' means the shut-off VALVE, and the outlets are SW-B, the risers with meters.",yes
legacy_comment:11#heights_from_csv,legacy_comment:11,Heights are the CSV,make_services_sheets.py:452,duplicate,"Duplicates legacy_csv:service_outlets:SW-B. Carried forward by that record, not by a second one.",yes
legacy_comment:11#p1_internal_arrangement,legacy_comment:11,the sewage pipe is in the middle approximately between the walls,make_services_sheets.py:452,accepted,"OWNER-STATED arrangement, 2026-09-07, with the valve node nearer the vent shaft.",yes
legacy_comment:11#derived_stack_y_131,legacy_comment:11,y ≈ 131,make_services_sheets.py:452,accepted,"DERIVED by the author from the owner's qualitative arrangement. knowledge_basis=derived, value_state=candidate.",yes
legacy_comment:11#sh_b_south_end_assumed,legacy_comment:11,SH-B keeps the south end.,make_services_sheets.py:452,accepted,"ASSUMED placement - the owner's statement does not mention SH-B at all. knowledge_basis=assumed, value_state=candidate.",yes
legacy_comment:12#second_sewer_stack_behind_v2,legacy_comment:12,the SECOND sewer stack,make_services_sheets.py:472,accepted,"OWNER-SUPPORTED, quoted in the same block: 'two sewage pipes ... the transit from the top of the building to the bottom'.",yes
legacy_comment:12#kitchen_dn50_connects_to_it,legacy_comment:12,This is what the kitchen DN50,make_services_sheets.py:472,accepted,"INFERRED by the author, not stated by the owner - and legacy_comment:5 records that NO photo shows the connection. value_state=candidate, knowledge_basis=derived.",yes
legacy_comment:12#no_horizontal_main_needed,legacy_comment:12,no horizontal main across the flat was ever needed,make_services_sheets.py:472,accepted,Corroborates legacy_comment:6#no_horizontal_dn110_main.,yes
