locator,source_kind,raw,carries,multiplicity,count_min,count_max,reviewed_multiplicity,reviewed_multiplicity_note,vertical_kind,vertical_raw,occurrence_split_count,expected_target_concepts,adjudication,adjudication_note,review_position
legacy_csv:electrical_existing:E-WC-BOX,canonical_csv,"{""item_id"": ""E-WC-BOX"", ""kind"": ""box, unidentified"", ""room"": ""туалет"", ""count"": ""1"", ""height_mm"": ""~1440"", ""source"": ""ade6 (53)"", ""notes"": ""⚠ A white square box on the riser wall at ~1.4 m. Could be electrical or the water meters’ pulse output. NOT identified. Height derived from the WC pan rim as the only scale in frame, ±150.""}","box, unidentified",single,1,1,,,approximate,~1440,,,unresolved,,electrical_existing.csv:12
legacy_csv:service_outlets:SV-K,canonical_csv,"{""outlet_id"": ""SV-K"", ""kind"": ""ventilation extract grille"", ""room"": ""кухня zone"", ""on_element"": ""V2 assembly"", ""centre_height_mm"": ""2177"", ""size_mm"": ""~200 x 315 apparent"", ""source"": ""9e9b.jpg, apartment 2"", ""notes"": ""!! MEASURED 2026-09-07. Top 2334 above the floor, bottom 2020, so ~166 below the ceiling. The apparent 200 x 315 is foreshortened - the face is oblique - so a 300 x 300 grille is the",ventilation extract grille,unstated,,,,,point,2177,,,unresolved,,service_outlets.csv:2
legacy_csv:service_outlets:SS-B,canonical_csv,"{""outlet_id"": ""SS-B"", ""kind"": ""sewer connection, main"", ""room"": ""туалет"", ""on_element"": ""P1"", ""centre_height_mm"": ""floor to ceiling"", ""size_mm"": ""DN110"", ""source"": ""ade6.jpg, apartment 53"", ""notes"": ""!! LOCATED 2026-09-07. The large grey vertical MAIN STACK running floor to ceiling in the P1 zone, with branch runs at floor level to its right. DN110 as expected for a stack. 2026-09-07, owner: this ","sewer connection, main",unstated,,,,,continuous,floor to ceiling,,,unresolved,,service_outlets.csv:3
legacy_csv:service_outlets:SW-B,canonical_csv,"{""outlet_id"": ""SW-B"", ""kind"": ""hot and cold water tails"", ""room"": ""туалет"", ""on_element"": ""P1"", ""centre_height_mm"": ""meters ~1380, valves ~1630"", ""source"": ""ade6.jpg, apartment 53"", ""notes"": ""!! LOCATED 2026-09-07. TWO water risers flanking the sewer stack, each with a red-handled ISOLATING VALVE high up and a WATER METER below it - matching the developer’s \""с установкой счетчиков\"". The right-ha",hot and cold water tails,unstated,,,,,approximate,"meters ~1380, valves ~1630",,,unresolved,,service_outlets.csv:4
legacy_csv:service_outlets:SV-T,canonical_csv,"{""outlet_id"": ""SV-T"", ""kind"": ""ventilation extract grille"", ""room"": ""туалет"", ""on_element"": ""V1"", ""source"": ""not yet measured"", ""notes"": ""UNMEASURED. If SV-K is the standard, expect ~2.2 m. 2026-09-07: this grille is the extract for BOTH wet rooms - the ванная discharges into the туалет through the SV-VT transfer opening and out through here, so its duty is two rooms, not one. Relevant if a fan is",ventilation extract grille,unstated,,,,,unstated,,,,unresolved,,service_outlets.csv:5
legacy_csv:service_outlets:SV-VT,canonical_csv,"{""outlet_id"": ""SV-VT"", ""kind"": ""TRANSFER opening, high level (was wrongly recorded as a grille on V1)"", ""room"": ""ванная"", ""on_element"": ""G4b, near the ceiling"", ""source"": ""not yet measured"", ""notes"": ""!! CORRECTED 2026-09-07 by the owner, from b83a: the ванная has NO duct of its own. It has a high-level TRANSFER opening through G4b into the туалет, and the туалет alone is grilled into shaft V1 (SV","TRANSFER opening, high level (was wrongly recorded as a grille on V1)",unstated,,,,,unstated,,,,unresolved,,service_outlets.csv:6
legacy_csv:service_outlets:SS-K,canonical_csv,"{""outlet_id"": ""SS-K"", ""kind"": ""sewer connection, kitchen"", ""room"": ""кухня zone"", ""on_element"": ""wall base, east end of the kitchen wall"", ""centre_height_mm"": ""50-60"", ""size_mm"": ""DN50"", ""source"": ""930d.jpg, apartment 53"", ""notes"": ""!! LOCATED 2026-09-07. A grey PVC pipe running HORIZONTALLY along the wall base with a SOCKET facing into the room, continuing right into a chase. Derived body 55-66 an","sewer connection, kitchen",unstated,,,,,range,50-60,,,unresolved,,service_outlets.csv:7
legacy_csv:service_outlets:SW-K,canonical_csv,"{""outlet_id"": ""SW-K"", ""kind"": ""hot and cold water take-off"", ""room"": ""кухня zone"", ""on_element"": ""kitchen wall, clamped, rising from the floor"", ""centre_height_mm"": ""500-610 (valve tops)"", ""size_mm"": ""~92-111 apart"", ""source"": ""930d.jpg, apartment 53"", ""notes"": ""!! LOCATED 2026-09-07. TWO pipes rising OUT OF THE FLOOR - red hot, blue cold, insulated, clamped to the wall, terminating in brass valve",hot and cold water take-off,unstated,,,,,range,500-610 (valve tops),,,unresolved,,service_outlets.csv:8
legacy_csv:service_outlets:SH-B,canonical_csv,"{""outlet_id"": ""SH-B"", ""kind"": ""heating riser, insulated"", ""room"": ""туалет"", ""on_element"": ""P1"", ""centre_height_mm"": ""floor to ceiling"", ""source"": ""ade6.jpg, apartment 53"", ""notes"": ""A foil-insulated vertical pipe alongside the water risers, plus a separate valved take-off. Almost certainly the heating riser - the horizontal distribution the developer describes has to start somewhere, and this is t","heating riser, insulated",unstated,,,,,continuous,floor to ceiling,,,unresolved,,service_outlets.csv:9
legacy_csv:plumbing_anchors:P1,canonical_csv,"{""anchor_id"": ""P1"", ""type"": ""wet_riser_group"", ""location"": ""туалет, beside V1"", ""width_mm"": ""343"", ""depth_mm"": ""803"", ""notes"": ""HOT + COLD water (the flat's ONLY water source), the MAIN SEWER stack, and the TOWEL-RAIL TAILS. ⚠ The RAIL ITSELF IS NOT INSTALLED and will sit in the ВАННАЯ - only the pipes and connectors are in, capped and ready. Immovable.""}",wet_riser_group,unstated,,,,,unstated,,,,unresolved,,plumbing_anchors.csv:2
legacy_csv:plumbing_anchors:P2,canonical_csv,"{""anchor_id"": ""P2"", ""type"": ""sewer_only"", ""location"": ""between R3 and V2"", ""width_mm"": ""450"", ""depth_mm"": ""225"", ""notes"": ""The SECOND SEWER. Serves the kitchen now and potentially a future laundry. NO water at this point - kitchen water arrives from P1 under the floor. Immovable.""}",sewer_only,unstated,,,,,unstated,,,,unresolved,,plumbing_anchors.csv:3
legacy_csv:plumbing_anchors:T1,canonical_csv,"{""anchor_id"": ""T1"", ""type"": ""capped_tails"", ""location"": ""from P1 through G4b into the ванная"", ""notes"": ""TOWEL-RAIL FLOW AND RETURN, capped, awaiting a rail. ⚠ THEY CROSS G4b - a KNOWN PENETRATION of the 120 mm wall between туалет and ванная. Their emergence point FIXES where the rail can go.""}",capped_tails,unstated,,,,,unstated,,,,unresolved,,plumbing_anchors.csv:4
legacy_generator:SEWER,python_literal_route,"SEWER = [(707.22765, 69.9953), (672, 69.9953)]",2-point polyline,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:339
legacy_generator:BATH_W,python_literal_route,"BATH_W = [(70, 190), (70, 212), (152, 212)]          # ГВС+ХВС: P1 -> ванна -> раковина",3-point polyline,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:377
legacy_generator:BATH_S,python_literal_route,"BATH_S = [(150, 220), (78, 220), (78, 191)]          # DN50: раковина/ванна -> стояк SS-B",3-point polyline,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:378
legacy_generator:SOCK:S1,python_literal,"('S1', 'G3', 0.16, +1, 2, 100, '930d + a89d', u'ряд из 3 розеток над столешницей, H=100'),",SOCK,single,1,1,,,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: 930d (53) + a89d (109) - two comparable flats agree on the north-wall row. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. Occurrence existence may be `observed`, but host, face, along-wall value and height each keep their OWN basis: a photographed socket does not validate the generator's exact wall fraction.",make_services_sheets.py:73:1
legacy_generator:SOCK:S2,python_literal,"('S2', 'G3', 0.42, +1, 2, 100, '930d + a89d', u'то же, средняя в ряду'),",SOCK,single,1,1,,,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: 930d (53) + a89d (109) - the middle of that same row. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. Occurrence existence may be `observed`, but host, face, along-wall value and height each keep their OWN basis: a photographed socket does not validate the generator's exact wall fraction.",make_services_sheets.py:74:1
legacy_generator:SOCK:S17,python_literal,"('S17', 'G7', 0.30, +1, 1, 30, u'владелец', u'ВЛАДЕЛЕЦ: на G7 две розетки, выключателей нет'),",SOCK,single,1,1,,,unstated,,,assertion,accepted,"OWNER-ONLY, no photo. NO OCCURRENCE IS MINTED while cardinality itself is disputed - see legacy_comment:2#two_outlets_on_g7 against legacy_comment:4#zero_outlets_on_middle_living_wall. Coverage needs TARGET records, not occurrence targets, so this migrates as ASSERTIONS scoped to the G7 face and phase: outlet count 2 (disputed); outlet count 0 (disputed); the legacy 0.30/0.68 along-wall positions (candidate, assumed, CONDITIONAL on the count-two reading); switch count 0 (asserted, corroborated by both blocks). If the owner resolves to two outlets, the occurrence records are created THEN and the candidate positions attached for review. If he resolves to zero, no occurrence identity ever needs to exist.",make_services_sheets.py:77:1
legacy_generator:SOCK:S18,python_literal,"('S18', 'G7', 0.68, +1, 1, 30, u'владелец', u'то же, вторая'),",SOCK,single,1,1,,,unstated,,,assertion,accepted,"OWNER-ONLY, no photo. NO OCCURRENCE IS MINTED while cardinality itself is disputed - see legacy_comment:2#two_outlets_on_g7 against legacy_comment:4#zero_outlets_on_middle_living_wall. Coverage needs TARGET records, not occurrence targets, so this migrates as ASSERTIONS scoped to the G7 face and phase: outlet count 2 (disputed); outlet count 0 (disputed); the legacy 0.30/0.68 along-wall positions (candidate, assumed, CONDITIONAL on the count-two reading); switch count 0 (asserted, corroborated by both blocks). If the owner resolves to two outlets, the occurrence records are created THEN and the candidate positions attached for review. If he resolves to zero, no occurrence identity ever needs to exist.",make_services_sheets.py:78:1
legacy_generator:SOCK:S4,python_literal,"('S4', 'R2', 0.55, +1, 1, 30, 'a89d + add8', u'низкая розетка на длинной стене (СЧЁТ уточняется)'),",SOCK,single,1,1,,,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: a89d + add8 (both 109) - ONE comparable flat, and the generator itself marks the count «уточняется». So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. Occurrence existence may be `observed`, but host, face, along-wall value and height each keep their OWN basis: a photographed socket does not validate the generator's exact wall fraction.",make_services_sheets.py:81:1
legacy_generator:SOCK:S5,python_literal,"('S5', 'G5', 0.45, +1, 1, 30, 'a89d + add8', u'то же, вторая (СЧЁТ уточняется)'),",SOCK,single,1,1,,,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: a89d + add8 (both 109) - ONE comparable flat, count likewise unsettled. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. Occurrence existence may be `observed`, but host, face, along-wall value and height each keep their OWN basis: a photographed socket does not validate the generator's exact wall fraction.",make_services_sheets.py:82:1
legacy_generator:SOCK:S6,python_literal,"('S6', 'G8', 0.30, -1, 1, 30, 'b6f0', u'2 низкие розетки; СТЕНА не подтверждена'),",SOCK,single,1,1,,,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: b6f0 (53) - ONE comparable flat, and the literal itself says «СТЕНА не подтверждена». So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. Occurrence existence may be `observed`, but host, face, along-wall value and height each keep their OWN basis: a photographed socket does not validate the generator's exact wall fraction.",make_services_sheets.py:86:1
legacy_generator:SOCK:S7,python_literal,"('S7', 'G8', 0.72, -1, 1, 30, 'b6f0', u'то же'),",SOCK,single,1,1,,,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: b6f0 (53) - ONE comparable flat, wall likewise unconfirmed. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. Occurrence existence may be `observed`, but host, face, along-wall value and height each keep their OWN basis: a photographed socket does not validate the generator's exact wall fraction.",make_services_sheets.py:87:1
legacy_generator:SOCK:S12,python_literal,"('S12', 'MB', 0.08, -1, 1, 30, NOPH, u'—'),",SOCK,single,1,1,,,unstated,,,assertion,accepted,"NEITHER PHOTO NOR OWNER. Accepted as evidence of what the LEGACY SHEET DREW, and nothing more: no physical occurrence is minted from it. The target is a HISTORICAL ASSERTION that the legacy sheet contained an assumed candidate placement. Existence and placement both lack external authority.",make_services_sheets.py:88:1
legacy_generator:SOCK:S8,python_literal,"('S8', 'G4a', 0.34, -1, 1, 30, '9db4 + bc18', u'розетки на боковых стенах; СТЕНА не подтверждена'),",SOCK,single,1,1,,,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: 9db4 (53) + bc18 (109) - two comparable flats, wall unconfirmed. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. Occurrence existence may be `observed`, but host, face, along-wall value and height each keep their OWN basis: a photographed socket does not validate the generator's exact wall fraction.",make_services_sheets.py:90:1
legacy_generator:SOCK:S9,python_literal,"('S9', 'R6', 0.50, -1, 1, 30, '9db4', u'то же, вторая стена'),",SOCK,single,1,1,,,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: 9db4 (53) - ONE comparable flat. So the target records are (1) an observation scoped to the flat actually photographed and (2) a candidate, derived existence/count assertion about THIS apartment. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. Occurrence existence may be `observed`, but host, face, along-wall value and height each keep their OWN basis: a photographed socket does not validate the generator's exact wall fraction.",make_services_sheets.py:91:1
legacy_generator:SOCK:S13,python_literal,"('S13', 'MA', 0.42, -1, 1, 30, NOPH, u'—'),",SOCK,single,1,1,,,unstated,,,assertion,accepted,"NEITHER PHOTO NOR OWNER. Accepted as evidence of what the LEGACY SHEET DREW, and nothing more: no physical occurrence is minted from it. The target is a HISTORICAL ASSERTION that the legacy sheet contained an assumed candidate placement. Existence and placement both lack external authority.",make_services_sheets.py:92:1
legacy_generator:POWER:S3,python_literal,"POWER = [('S3', 'G3', 0.70, +1, 100, u'930d + a89d + владелец',",POWER,single,1,1,,,unstated,,,observation;assertion,accepted,"⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. EVIDENCE: 930d (53) + a89d (109) for the outlet, plus an owner statement about VOLTAGE. ⚠ NEEDS THE OWNER, AND I AM NOT RESOLVING IT: «НЕ 220 В, вероятно 380 В» is a claim about the supply, and it is AMBIGUOUS whether he was describing the cooker outlet IN HIS OWN FLAT - which would be this-unit testimony establishing existence - or correcting the drawing. Until he says which, existence stays candidate. existence_readiness=candidate for THIS apartment, so NO target-apartment occurrence is minted - the same rule that stopped S17/S18. The observation and the projected count assertion are both preserved. An owner approval could authorise these as PLANNED elements; it cannot retrospectively turn comparable-flat evidence into observation of the existing flat. THREE separable claims remain, and must not collapse into one: (1) the single-outlet position; (2) NOT 220 V - an owner assertion; (3) «вероятно 380 V» - a CANDIDATE. No confirmed 380 V type or circuit may be assigned from «вероятно».",make_services_sheets.py:96:9
legacy_generator:SWDEF:W1,python_literal,"('W1', 'G4C', 'O1', 'hi', -1, 1, 90, 'a82a', u'коробки у дверей мокрых зон, со стороны прихожей'),",SWDEF,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:101:1
legacy_generator:SWDEF:W2,python_literal,"('W2', 'G4C', 'O7', 'lo', -1, 1, 90, 'a82a', u'то же'),",SWDEF,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:102:1
legacy_generator:SWDEF:W3,python_literal,"('W3', 'G2', 'O8', 'hi', +1, 2, 90, 'a89c + a82a', u'ПАРА коробок на простенке, H≈880'),",SWDEF,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:103:1
legacy_generator:SWDEF:W4,python_literal,"('W4', 'G6', 'O5', 'hi', +1, 1, 90, NOPH, u'—'),",SWDEF,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:104:1
legacy_generator:SWDEF:W5,python_literal,"('W5', 'G8', None, 0.14, +1, 1, 90, NOPH, u'— (на G8: у G4d нет места у проёма)'),",SWDEF,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:108:1
legacy_generator:SWDEF:W6,python_literal,"('W6', 'R5', None, 0.30, +1, 2, 90, u'вывод — у проёма O10',",SWDEF,single,1,1,,,unstated,,,,unresolved,,make_services_sheets.py:112:1
