wall_id,structural_element_id,class,thickness_mm,insulation_mm,insulation_side,insulation_end_caps,insulation_to_mm,insulation_from_mm,clear_mm,owns_corners_mm,solid_mm,length_source,notes
G2,G2,aerated_block,250,,,,,,2219,,2219,printed on the plan,"2219 = left jamb 499 + O8 1010 + right jamb 710. Confirmed independently by the owner’s top-edge chain, 2026-09-04."
G3,G3,aerated_block,250,,,,,,3090,,3090,"drawn block joint on the vector plan, owner-approved 2026-09-09","SPLIT RESOLVED 2026-09-09 - see R3. G3 clear 3090, from the drawn block joint at x=9606.2 to R2's near face at 12695.9 (measured 3089.7). !! CORNER CLAIM CORRECTED: this note previously said ""G3 owns the L-corner with R2 and gains its 250"". It does NOT. wall_corners.csv assigns C_G3_R2 to R2, because build_wall_corners.py's pick_owner gives the concrete FRAME priority over block infill - and the drawing agrees, since G3's run stops at 12695.9, which is R2's NEAR face. So G3 gains nothing and its solid equals its clear 3090. The two figures in the old note were both real but described different things: 5830 is G2's east face to R2's NEAR face, and 6080 the same start to R2's FAR face. Only the ownership claim was wrong. STILL TRUE from the old note: the earlier G3 = 3315 is retracted, because the printed 3315 runs from the VENTING SHAFT to R2 and the split lies east of the shaft edge, so G3 is strictly less than 3315 - which 3090 is."
G4a,G4a,aerated_block,250,,,,,,3570,,3570,"DERIVED, confirmed by chain closure","3570 = 1800 vannaya + 120 G4d + 1650. Confirmed by west-edge closure: R1b 1200 + G4b 120 + G4a 3570 + R6 1750 = 6640, against a pixel run of 6676."
G4b,G4b,aerated_block,120,,,,,,1795,,1795,"printed chain, closure 2026-09-10","CLEAR CORRECTED 2026-09-10 from 1915 to 1795. The 1915 was the printed chain 1795|120|910 read ONE STOP TOO FAR - to G4C''s far face instead of its near face. G4b is drawn 3230.9..5026.0 and stops on G4C''s NEAR face, so it owns no corner and solid = clear. Chain closure: 3230.9 + 1795 = 5025.9 against G4C west face 5026.0, to 0.1 mm. This was recorded as a suspected transposition with G4d and it was not one: both figures came from the same chain at different stop points. Standing rule 9 - the two elements the extension lines terminate on were never identified."
G4C,G4C,aerated_block,120,,,,,,3120,,3120,"printed chain, closure 2026-09-10","CLEAR CORRECTED 2026-09-10 from 3240 to 3120 - the THIRD wall of this block with the same off-by-one-stop error, and found by looking for the pattern rather than by review. The printed vertical chain beside G4C is 610|710|720|710|490 = 3240, and that spans G4d''s FAR face 12750.3 to R1a''s near face 15990.3 = 3240.0 exactly. G4C''s own body starts at G4d''s NEAR face: 15990.3 - 12870.3 = 3120.0 drawn. The 120 difference is G4d''s thickness, and G4d OWNS that corner (it runs through to G4C''s far face in x; see J_G4d_G4C), so G4C must not also count it - counting a corner twice is the defect wall_corners.csv exists to prevent. The two 710s in the chain are the ПР openings the vector records as bridged at 13360.3..14070.3 and 14790.3..15500.3."
G4d,G4d,aerated_block,120,,,,,,1795,120,1915,"printed chain, closure 2026-09-10","CLEAR CORRECTED 2026-09-10 from 2825 to 1795, and it now OWNS the G4C corner (+120), so solid = 1915. The 2825 was the printed chain 1795|120|910 summed WHOLE - two stops too far. G4d is drawn 3230.9..5146.0, running through to G4C''s far face, which is what owning that corner looks like; see junction_directives.csv J_G4d_G4C, needed because the thicker-then-longer rule would award the corner to G4C and the drawing shows otherwise. Chain closure: 3230.9 + 1915 = 5145.9 against G4C east face 5146.0, to 0.1 mm."
G5,G5,aerated_block,250,,,,,,4035,,4035,printed on the plan,
G6,G6,aerated_block,75,,,,,,1915,,1915,printed on the plan,
G7,G7,aerated_block,75,,,,,,3250,,3250,printed on the plan,
G8,G8,aerated_block,75,,,,,,3250,,3250,printed on the plan,
MA,MA,external,300,70,,none,,,2825,200,3025,printed on the plan," INSULATION END CAPS SUPPRESSED 2026-09-15. MA's west end sits on the SAME PLANE as M2's west face (x 2930.9) after directive P_MA_west, and the owner has confirmed that plane is against the neighbour's лоджия everywhere except M2's southern 570 mm - which is south of MA entirely. So MA's west end face is not exposed and carries no wrap. Without this the end-cap rule added a 70 mm block west of M2, which is exactly one of the ""small segments outside of MA M2 and R6"" the owner asked to remove. OWNS C_M2_MA AS OF 2026-09-15 (+200), so solid_mm becomes clear_mm 2825 + 200 = 3025. The ownership was M2's until the owner reversed it on the contour overlay: ""let MA go through; cut the M2 block which overlaps with MA."" clear_mm is UNCHANGED - solid_mm is a derived field, the same arithmetic that corrected R8 and M2. INSULATION THICKNESS OWNER-CONFIRMED 2026-09-15: the 70/150 split is CORRECT as recorded. I had raised it as an open disagreement after the exterior photos - building_spec.json states 70 mm mineral wool for the building's external walls, and ext2 shows the layer wrapping the M6b/MB corner as one unbroken skin, which I read as implying a single thickness throughout. THAT INFERENCE WAS WRONG: a continuous wrap does not imply a constant thickness, and the photo cannot measure one. The 70 applies to the main facade walls MA/MB/MC (300 block + 70, per the spec) and the 150 to M6b/R8/R9. The question is CLOSED; no reconciliation is needed because there was no conflict."
M2,M2,loggia_enclosure,200,150,low,none,7547.2,6977.2,1850,,1850,printed on the plan,"⚠⚠ UNRESOLVED CONTRADICTION, restored to 150 on 2026-09-17 rather than resolved by me. THIS COLUMN says 150. wall_materials.json owner rule 4 says «M2 is 200 mm aerated block with NO insulation - the divider to the adjacent лоджия», and the same file argues insulation follows the RENDERED FAÇADE PLANE, which M2 is not on. I briefly set this to 0 on rule 4's authority; that was resolving a conflict between two canonical records by picking one. NEEDS THE OWNER. "
MB,MB,external,300,70,,,,,3000,,3000,printed on the plan," INSULATION THICKNESS OWNER-CONFIRMED 2026-09-15: the 70/150 split is CORRECT as recorded. I had raised it as an open disagreement after the exterior photos - building_spec.json states 70 mm mineral wool for the building's external walls, and ext2 shows the layer wrapping the M6b/MB corner as one unbroken skin, which I read as implying a single thickness throughout. THAT INFERENCE WAS WRONG: a continuous wrap does not imply a constant thickness, and the photo cannot measure one. The 70 applies to the main facade walls MA/MB/MC (300 block + 70, per the spec) and the 150 to M6b/R8/R9. The question is CLOSED; no reconciliation is needed because there was no conflict."
MC,MC,external,300,70,,none,,,3315,250,3565,printed on the plan,"OWNS A CORNER as of 2026-09-09 (J_R7_MC): MC extends onto R7 to close a junction tools/layout/build_wall_corners.py cannot derive, so it gains 250 mm and solid_mm becomes clear_mm 3315 + 250 = 3565. clear_mm is UNCHANGED - solid_mm is a derived field, and this is the same arithmetic that corrected R8. See data/canonical/junction_directives.csv. INSULATION END CAPS SUPPRESSED 2026-09-15. Owner on the overlay, arrow at MC's east end: ""remove this segment."" _Inbox/_Visual_Drop/4th_floor_plan.png is the evidence and it is unambiguous: this flat is 3Б/2+ in the MIDDLE of a two-section house, and the flat immediately east is 3А/2, its MIRROR. MC's east end is therefore a PARTY wall against 3А/2's own facade wall, not an exposed end, and an end cap there would have wrapped insulation around a face that touches the neighbour's masonry. The end-cap rule cannot derive this: nothing east of x 12946.0 exists in our model, so a flood from outside reaches it and it reads as exposed. Being at the end of OUR drawing is not the same as being outside the BUILDING. INSULATION THICKNESS OWNER-CONFIRMED 2026-09-15: the 70/150 split is CORRECT as recorded. I had raised it as an open disagreement after the exterior photos - building_spec.json states 70 mm mineral wool for the building's external walls, and ext2 shows the layer wrapping the M6b/MB corner as one unbroken skin, which I read as implying a single thickness throughout. THAT INFERENCE WAS WRONG: a continuous wrap does not imply a constant thickness, and the photo cannot measure one. The 70 applies to the main facade walls MA/MB/MC (300 block + 70, per the spec) and the 150 to M6b/R8/R9. The question is CLOSED; no reconciliation is needed because there was no conflict."
M6b,M6b,loggia_enclosure,200,150,high,,,,1170,,1170,printed on the plan,"⚠ INSULATION 150 IS AN ACCEPTED ESTIMATE, NOT A MEASUREMENT (owner, 2026-09-17): «I don't have clear measurement... I have a photo which looks like it could be 150... this is not important structural questions, this is just external insulation, probably we can accept 150». The photo is ext2 / IMG_20260913_134256, whose own record says it DOES NOT SETTLE any dimension - oblique, no scale reference in frame. Standing rule 9. Carried as the owner's accepted figure so the model is complete; NOT to be treated as measured, and NOT to be used where 70 vs 150 changes an answer. "
