migration_key,source_locators,target_concept,observed_what,scope_kind,scope_ref,observed_via,count_min,count_max,measurement_mm,measurement_kind,notes
OBS-service-outlets-SV-K,legacy_csv:service_outlets:SV-K,observation,"kitchen extract grille on V2, MEASURED 2177",apartment,2,9e9b,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: 9e9b (apartment 2) - MEASURED there - 2177 centre, ~166 below the ceiling. A real measurement, of another flat."
OBS-service-outlets-SS-K,legacy_csv:service_outlets:SS-K,observation,kitchen DN50 sewer socket,apartment,53,930d,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: 930d (53) - the kitchen DN50 socket. ⚠ legacy_comment:12#kitchen_dn50_connects_to_it is the author's INFERENCE, not the ow"
OBS-service-outlets-SW-K,legacy_csv:service_outlets:SW-K,observation,hot and cold take-offs rising from the floor,apartment,53,930d,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: 930d (53) - the hot/cold take-off pair, ~92-111 apart. The ORDER is owner-corrected (sewer nearest the shaft) and that rel"
OBS-service-outlets-SH-B,legacy_csv:service_outlets:SH-B,observation,an insulated floor-to-ceiling riser in P1,apartment,53,ade6,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: ade6 (53) - ⚠ THE OWNER'S P1 STATEMENT DOES NOT MENTION SH-B AT ALL (legacy_comment:11#sh_b_south_end_assumed). So unlike "
OBS-plumbing-anchors-T1,legacy_csv:plumbing_anchors:T1,observation,capped towel-rail flow and return crossing G4b,apartment,53,ade6,,,,none,"Scoped to the flat actually photographed. TOWEL-RAIL FLOW AND RETURN, capped, awaiting a rail. ⚠ A KNOWN PENETRATION of the 120 mm G4b between туалет and ванная, and the row states the emergence point FIXES where the rail can go - so this constrains later design and must not be dropped. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to"
OBS-SOCK-S1,legacy_generator:SOCK:S1,observation,"north-wall socket row, H=100",apartment,53,930d;a89d,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-SOCK-S2,legacy_generator:SOCK:S2,observation,the middle of that row,apartment,53,930d;a89d,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-SOCK-S4,legacy_generator:SOCK:S4,observation,low socket on the east party wall,apartment,109,a89d;add8,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-SOCK-S5,legacy_generator:SOCK:S5,observation,the second of that pair,apartment,109,a89d;add8,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-SOCK-S6,legacy_generator:SOCK:S6,observation,"low socket, middle room; WALL NOT CONFIRMED",apartment,53,b6f0,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-SOCK-S7,legacy_generator:SOCK:S7,observation,"the second, wall likewise unconfirmed",apartment,53,b6f0,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-SOCK-S8,legacy_generator:SOCK:S8,observation,"socket on a side wall, small bedroom",apartment,53,9db4;bc18,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-SOCK-S9,legacy_generator:SOCK:S9,observation,the second side wall,apartment,53,9db4,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-POWER-S3,legacy_generator:POWER:S3,observation,"a VISUALLY DIFFERENT, larger outlet at the cooker position",apartment,53,930d;a89d,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-SWDEF-W1,legacy_generator:SWDEF:W1,observation,switch box beside a wet-room door,apartment,109,a82a,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: a82a (109) - boxes beside the wet-room doors, corridor side."
OBS-SWDEF-W2,legacy_generator:SWDEF:W2,observation,the second of that pair,apartment,109,a82a,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: a82a (109) - the same pair."
OBS-SWDEF-W3,legacy_generator:SWDEF:W3,observation,"a pair of boxes on the pier, H~880",apartment,109,a89c;a82a,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: a89c + a82a (both 109) - a pair on the pier at H≈880, corroborated by E-C-SWITCH - but BOTH are the same flat, so this is "
OBS-LIGHT-L1,legacy_generator:LIGHT:L1,observation,"ceiling cable outlet, kitchen zone",apartment,109,add8,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-LIGHT-L2,legacy_generator:LIGHT:L2,observation,"ceiling cable outlet, living zone",apartment,109,add8,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-LIGHT-L4,legacy_generator:LIGHT:L4,observation,"ceiling cable at the window, middle room",apartment,53,b6f0,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-LIGHT-L5,legacy_generator:LIGHT:L5,observation,"ceiling cable, small bedroom",apartment,109,bc18,,,,none,"Scoped to the flat actually photographed. ⚠ REVISED 2026-09-17 - `occurrence` WITHDRAWN. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO"
OBS-MC-EMPTY-109,legacy_csv:electrical_existing:E-KL-SOC-W,observation,"MC, the window wall: NO outlets, both flanks of O3 clean",apartment,109,add8,0,0,,none,"A NEGATIVE observation, and it is worth a record: polarity, not a different kind of fact. It corroborates the owner’s statement about OUR flat (legacy_comment:3#zero_outlets_on_mc) from an independent flat."
