migration_key,source_locators,target_concept,subject_key,property,value,value_type,polarity,knowledge_basis,value_state,scope_kind,scope_ref,scope_phase,disputed_with,notes
ASR-electrical-existing-E-SB-SOC-EXIST,legacy_csv:electrical_existing:E-SB-SOC,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-electrical-existing-E-SB-LIGHT-EXIST,legacy_csv:electrical_existing:E-SB-LIGHT,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-electrical-existing-E-WC-BOX-EXIST,legacy_csv:electrical_existing:E-WC-BOX,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-service-outlets-SV-K-EXIST,legacy_csv:service_outlets:SV-K,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-service-outlets-SS-B-ZONE,legacy_csv:service_outlets:SS-B,assertion,OCC-service-outlets-SS-B,arrangement,inside P1,string,affirm,stated,asserted,apartment,ours,existing,,"CONTAINMENT, NOT A POSITION. `contained_in_zone=P1` says where this belongs semantically; a future `zone_local(P1,u,v)` would assert an actual position in a published zone frame. They are different claims and the second is not yet possible."
ASR-service-outlets-SS-K-EXIST,legacy_csv:service_outlets:SS-K,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-service-outlets-SW-K-EXIST,legacy_csv:service_outlets:SW-K,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-service-outlets-SH-B-EXIST,legacy_csv:service_outlets:SH-B,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-plumbing-anchors-P2-EXIST,legacy_csv:plumbing_anchors:P2,assertion,,existence,true,bool,affirm,stated,asserted,apartment,ours,existing,,"Owner-supported zone. OWNER TESTIMONY ABOUT THIS APARTMENT, which may establish target existence - unlike comparable-flat photography. the SECOND SEWER zone, owner-supported by the same «two sewage pipes» statement that establishes SS-K2. An ASSEMBLY/zone. ⚠ Same provenance gap: no source column, so 450x225 is candidate."
ASR-plumbing-anchors-T1-EXIST,legacy_csv:plumbing_anchors:T1,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SEWER-GEOM,legacy_generator:SEWER,assertion,,route_state,"derived polyline, not surveyed",string,affirm,derived,candidate,apartment,ours,existing,,"The drawn geometry, kept apart from the route record so a qualitative owner instruction is never read as a setting-out."
ASR-BATH-W-GEOM,legacy_generator:BATH_W,assertion,,route_state,"derived polyline, not surveyed",string,affirm,derived,candidate,apartment,ours,existing,,"The drawn geometry, kept apart from the route record so a qualitative owner instruction is never read as a setting-out."
ASR-BATH-S-GEOM,legacy_generator:BATH_S,assertion,,route_state,"derived polyline, not surveyed",string,affirm,derived,candidate,apartment,ours,existing,,"The drawn geometry, kept apart from the route record so a qualitative owner instruction is never read as a setting-out."
ASR-SOCK-S1-EXIST,legacy_generator:SOCK:S1,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SOCK-S2-EXIST,legacy_generator:SOCK:S2,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SOCK-S17-DREW,legacy_generator:SOCK:S17,assertion,,existence,true,bool,affirm,assumed,candidate,apartment,ours,existing,,"HISTORICAL ASSERTION about a LEGACY SYMBOL: the sheet drew two outlets on G7 with no photographic, CSV or owner support. Recorded as what was drawn, not as a fact about the flat. No occurrence."
ASR-SOCK-S18-DREW,legacy_generator:SOCK:S18,assertion,,existence,true,bool,affirm,assumed,candidate,apartment,ours,existing,,"HISTORICAL ASSERTION about a LEGACY SYMBOL: the sheet drew the second of those two with no photographic, CSV or owner support. Recorded as what was drawn, not as a fact about the flat. No occurrence."
ASR-SOCK-S4-EXIST,legacy_generator:SOCK:S4,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SOCK-S5-EXIST,legacy_generator:SOCK:S5,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SOCK-S6-EXIST,legacy_generator:SOCK:S6,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SOCK-S7-EXIST,legacy_generator:SOCK:S7,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SOCK-S12-DREW,legacy_generator:SOCK:S12,assertion,,existence,true,bool,affirm,assumed,candidate,apartment,ours,existing,,"HISTORICAL ASSERTION about a LEGACY SYMBOL: the sheet drew a socket on MB with no photographic, CSV or owner support. Recorded as what was drawn, not as a fact about the flat. No occurrence."
ASR-SOCK-S8-EXIST,legacy_generator:SOCK:S8,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SOCK-S9-EXIST,legacy_generator:SOCK:S9,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SOCK-S13-DREW,legacy_generator:SOCK:S13,assertion,,existence,true,bool,affirm,assumed,candidate,apartment,ours,existing,,"HISTORICAL ASSERTION about a LEGACY SYMBOL: the sheet drew a socket on MA with no photographic, CSV or owner support. Recorded as what was drawn, not as a fact about the flat. No occurrence."
ASR-POWER-S3-EXIST,legacy_generator:POWER:S3,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SWDEF-W1-EXIST,legacy_generator:SWDEF:W1,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SWDEF-W2-EXIST,legacy_generator:SWDEF:W2,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SWDEF-W3-EXIST,legacy_generator:SWDEF:W3,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-SWDEF-W4-DREW,legacy_generator:SWDEF:W4,assertion,,existence,true,bool,affirm,assumed,candidate,apartment,ours,existing,,"HISTORICAL ASSERTION about a LEGACY SYMBOL: the sheet drew a switch beside O5 on G6 with no photographic, CSV or owner support. Recorded as what was drawn, not as a fact about the flat. No occurrence."
ASR-SWDEF-W5-DREW,legacy_generator:SWDEF:W5,assertion,,existence,true,bool,affirm,assumed,candidate,apartment,ours,existing,,"HISTORICAL ASSERTION about a LEGACY SYMBOL: the sheet drew a switch on G8, off the opening with no photographic, CSV or owner support. Recorded as what was drawn, not as a fact about the flat. No occurrence."
ASR-LIGHT-L1-EXIST,legacy_generator:LIGHT:L1,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-LIGHT-L2-EXIST,legacy_generator:LIGHT:L2,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-LIGHT-L4-EXIST,legacy_generator:LIGHT:L4,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-LIGHT-L5-EXIST,legacy_generator:LIGHT:L5,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-LIGHT-L6-DREW,legacy_generator:LIGHT:L6,assertion,,existence,true,bool,affirm,assumed,candidate,apartment,ours,existing,,"HISTORICAL ASSERTION about a LEGACY SYMBOL: the sheet drew a proposed embedded fixture, toilet with no photographic, CSV or owner support. Recorded as what was drawn, not as a fact about the flat. No occurrence."
ASR-LIGHT-L7-DREW,legacy_generator:LIGHT:L7,assertion,,existence,true,bool,affirm,assumed,candidate,apartment,ours,existing,,"HISTORICAL ASSERTION about a LEGACY SYMBOL: the sheet drew a proposed embedded fixture, bathroom with no photographic, CSV or owner support. Recorded as what was drawn, not as a fact about the flat. No occurrence."
ASR-ROUTES-GVS-GEOM,legacy_generator:ROUTES:ГВС,assertion,,route_state,"derived polyline, not surveyed",string,affirm,derived,candidate,apartment,ours,existing,,"The drawn geometry, kept apart from the route record so a qualitative owner instruction is never read as a setting-out."
ASR-ROUTES-HVS-GEOM,legacy_generator:ROUTES:ХВС,assertion,,route_state,"derived polyline, not surveyed",string,affirm,derived,candidate,apartment,ours,existing,,"The drawn geometry, kept apart from the route record so a qualitative owner instruction is never read as a setting-out."
ASR-ROUTES-HVS-v-GEOM,legacy_generator:ROUTES:ХВС-в,assertion,,route_state,"derived polyline, not surveyed",string,affirm,derived,candidate,apartment,ours,existing,,"The drawn geometry, kept apart from the route record so a qualitative owner instruction is never read as a setting-out."
ASR-P1SVC-SS-K2-ZONE,legacy_generator:P1SVC:SS-K2,assertion,OCC-P1SVC-SS-K2,arrangement,inside P2,string,affirm,stated,asserted,apartment,ours,existing,,"CONTAINMENT, NOT A POSITION. `contained_in_zone=P2` says where this belongs semantically; a future `zone_local(P2,u,v)` would assert an actual position in a published zone frame. They are different claims and the second is not yet possible."
ASR-tag-V-1,legacy_generator:tag:V-1,assertion,,arrangement,⚠ MISATTRIBUTED SUPPORT - THE EVIDENCE MUST NOT MIGRATE. V-1 appears intended to display legacy_csv:service_ou,string,affirm,stated,asserted,apartment,ours,existing,,"⚠ MISATTRIBUTED SUPPORT - THE EVIDENCE MUST NOT MIGRATE. V-1 appears intended to display legacy_csv:service_outlets:SV-T, the туалет grille on V1, so the alias relation is kept. But it cites '930d + 9e9b' and BOTH photographs are of the KITCHEN grille on V2: 930d is apartment 53's big room at the kitchen wall, 9e9b is apartment 2's «the extract grille high on V2». NEITHER SHOWS THE ТУАЛЕТ. And its H=218 is worse than unsupported - SV-T's own row says «not yet measured. If SV-K is the standard, e"
ASR-tag-F1-DREW,legacy_generator:tag:F1,assertion,,existence,true,bool,affirm,assumed,candidate,apartment,ours,existing,,"HISTORICAL ASSERTION about a LEGACY SYMBOL: the sheet drew a ceiling fire detector with no photographic, CSV or owner support. Recorded as what was drawn, not as a fact about the flat. No occurrence."
ASR-6-dn110-horizontal-main,legacy_comment:6#dn110_horizontal_main,assertion,,route_state,I built a 6.3 m DN110 лежак from P2 to P1,string,affirm,stated,retracted,apartment,ours,existing,,Retracted by the author the same day it was drawn. Superseded by legacy_comment:6#two_vertical_dn110_stacks. Kept as history: the route was built from a misread of the owner naming TWO PLACES.
ASR-6-two-vertical-dn110-stacks,legacy_comment:6#two_vertical_dn110_stacks,assertion,,arrangement,"They are two STACKS, both DN110, each running the full height of the building.",string,affirm,stated,asserted,apartment,ours,existing,,The owner's correction. Two vertical DN110 stacks.
ASR-6-no-horizontal-dn110-main,legacy_comment:6#no_horizontal_dn110_main,assertion,,route_state,There is no horizontal main across this flat.,string,affirm,stated,asserted,apartment,ours,existing,,"A NEGATIVE fact, and separately adjudicable: it constrains any future drainage route whether or not the stacks claim is carried."
ASR-10-second-valve-node,legacy_comment:10#second_valve_node,assertion,,count,"The SECOND VALVE NODE is RETRACTED too, drawn and withdrawn the same day.",string,affirm,stated,retracted,apartment,ours,existing,,Built from the author's own word 'switch point'. Superseded by legacy_comment:10#single_valve_node.
ASR-10-single-valve-node,legacy_comment:10#single_valve_node,assertion,,arrangement,"only ONE valve node, [in] the water closet",string,affirm,stated,asserted,apartment,ours,existing,,"The owner, directly quoted."
ASR-10-sewer-stacks-restated,legacy_comment:10#sewer_stacks_restated,assertion,,arrangement,the two things behind V2 and behind the туалет are the two SEWER STACKS,string,affirm,stated,candidate,apartment,ours,existing,,"Restates legacy_comment:6#two_vertical_dn110_stacks. Carried forward by the same target record, not by a second one."
ASR-2-two-outlets-on-g7,legacy_comment:2#two_outlets_on_g7,assertion,,count,G7 - the wall to the middle room. TWO outlets,string,affirm,stated,asserted,apartment,ours,existing,,"CONTRADICTS legacy_comment:4#zero_outlets_on_middle_living_wall. Both are genuine owner statements, so both are accepted as SOURCES; the resulting assertion carries value_state=disputed until the owner says which wall face each statement meant. The migration must not pick one."
ASR-2-zero-switches-on-g7,legacy_comment:2#zero_switches_on_g7,assertion,,count,"no switches, per the owner 2026-09-07",string,affirm,stated,asserted,apartment,ours,existing,,CORROBORATED by legacy_comment:4#zero_switches_on_middle_living_wall - the two blocks agree on switches even while they disagree on outlets.
ASR-2-prior-switch-placement,legacy_comment:2#prior_switch_placement,assertion,,count,before that I had put a switch on it,string,affirm,stated,retracted,apartment,ours,existing,,"The author's earlier placement, withdrawn by the owner's statement."
ASR-3-zero-outlets-on-mc,legacy_comment:3#zero_outlets_on_mc,assertion,,count,"there are no outlets on the wall with the window, not a trace of it.",string,affirm,stated,asserted,apartment,ours,existing,,"A scoped count of ZERO on MC. Negation is POLARITY, not a kind of fact: this becomes an assertion with value false, never a 'negative fact' concept."
ASR-3-s16-removed,legacy_comment:3#s16_removed,assertion,,arrangement,S16 removed.,string,affirm,stated,retracted,apartment,ours,existing,,The placement withdrawn by the statement above.
ASR-4-zero-switches-on-middle-living-wall,legacy_comment:4#zero_switches_on_middle_living_wall,assertion,,count,нет ни выключателей,string,affirm,stated,asserted,apartment,ours,existing,,Agrees with legacy_comment:2#zero_switches_on_g7.
ASR-4-zero-outlets-on-middle-living-wall,legacy_comment:4#zero_outlets_on_middle_living_wall,assertion,,count,ни розеток,string,affirm,stated,asserted,apartment,ours,existing,,"CONTRADICTS legacy_comment:2#two_outlets_on_g7. And the block's own scope is AMBIGUOUS: the opening words read either as 'this is NOT about G7' or as 'nothing on G7'. Under the first reading there is no contradiction at all. NEEDS THE OWNER: which wall, and which face."
ASR-5-route-belongs-lower-hugging-g4b,legacy_comment:5#route_belongs_lower_hugging_g4b,assertion,,arrangement,It belongs LOWER,string,affirm,stated,asserted,apartment,ours,existing,,"OWNER INTENT, in his own correction - 'lower, further from V1, hugging G4b'. Kept separate from the coordinates below."
ASR-5-derived-route-y-coordinates,legacy_comment:5#derived_route_y_coordinates,assertion,,arrangement,Now y=180/186,string,affirm,stated,asserted,apartment,ours,existing,,"DERIVED BY THE DRAWING AUTHOR, not part of the owner's quoted decision. knowledge_basis=derived when it becomes a value; the owner said 'lower, hugging G4b', not a number."
ASR-5-dogleg-turn,legacy_comment:5#dogleg_turn,assertion,,route_state,I had added a turn that isn,string,affirm,stated,retracted,apartment,ours,existing,,"The author's dogleg, withdrawn on the owner's objection."
ASR-5-two-independent-one-turn-routes,legacy_comment:5#two_independent_one_turn_routes,assertion,,route_state,each pipe needs exactly ONE turn,string,affirm,stated,asserted,apartment,ours,existing,,"Two independent routes, each ending on its own take-off - not one line drawn twice."
ASR-5-dn50-run-observed-to-chase,legacy_comment:5#dn50_run_observed_to_chase,assertion,,route_state,disappearing behind the V2/P2 block,string,affirm,observed,asserted,apartment,53,existing,,"OBSERVED in photo 930d - WHICH IS APARTMENT 53, not ours (corrected 2026-09-17). A grey PVC pipe along the wall base into a chase. Asserted observation scoped to flat 53; its projection onto this apartment is candidate/derived. Consistent with legacy_comment:5#dn50_continuation_unknown, which already records that no photo shows how the DN50 reaches the stack."
ASR-5-dn50-continuation-unknown,legacy_comment:5#dn50_continuation_unknown,assertion,,route_state,no photo shows how this DN50 reaches it,string,affirm,stated,asserted,apartment,ours,existing,,"An explicit UNKNOWN. Becomes an assertion with value_state=unknown, not an omission - drawing the branch would be inventing an element."
ASR-7-bathroom-service-topology,legacy_comment:7#bathroom_service_topology,assertion,,vertical,risers stand in the niche at the far end,string,affirm,stated,asserted,apartment,ours,existing,,"The arrangement the owner wants applied: risers in the niche, meters at mid height, all three services leaving at low level."
ASR-7-applied-from-comparable-flat,legacy_comment:7#applied_from_comparable_flat,assertion,,arrangement,comparable flat,string,affirm,observed,asserted,apartment,53,existing,,"PROVENANCE: the owner's annotated photo of ANOTHER flat, not ours. knowledge_basis=observed, on a comparable flat."
ASR-7-topology-not-setting-out,legacy_comment:7#topology_not_setting_out,assertion,,route_state,"TOPOLOGY, NOT A SETTING-OUT",string,affirm,stated,asserted,apartment,ours,existing,,route_state=topology_only. The generator may not treat this as placement.
ASR-7-positions-indicative,legacy_comment:7#positions_indicative,assertion,,arrangement,are indicative,string,affirm,stated,asserted,apartment,ours,existing,,value_state=candidate for every position derived from this block.
ASR-11-p1-hot-cold-and-valve,legacy_comment:11#p1_hot_cold_and_valve,assertion,,count,another outlet for both hot and cold water,string,affirm,stated,asserted,apartment,ours,existing,,"Owner instruction; his 'switch' means the shut-off VALVE, and the outlets are SW-B, the risers with meters."
ASR-11-heights-from-csv,legacy_comment:11#heights_from_csv,assertion,,count,Heights are the CSV,string,affirm,stated,candidate,apartment,ours,existing,,"Duplicates legacy_csv:service_outlets:SW-B. Carried forward by that record, not by a second one."
